"GEO_ID","NAME","B25077_001E","B25077_001EA","B25077_001M","B25077_001MA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)",
"8600000US91601","ZCTA5 91601","498500","null","22780","null",
"8600000US91602","ZCTA5 91602","665700","null","37374","null",
"8600000US91604","ZCTA5 91604","918600","null","34866","null",
"8600000US91605","ZCTA5 91605","385100","null","11717","null",
"8600000US91606","ZCTA5 91606","426200","null","19055","null",
"8600000US91607","ZCTA5 91607","656300","null","29129","null",
"8600000US91608","ZCTA5 91608","-","-","**","**",
"8600000US91701","ZCTA5 91701","424300","null","8447","null",
"8600000US91702","ZCTA5 91702","339700","null","6153","null",
"8600000US91706","ZCTA5 91706","333900","null","5598","null",
"8600000US91708","ZCTA5 91708","391400","null","45121","null",
"8600000US91709","ZCTA5 91709","537800","null","11276","null",
"8600000US91710","ZCTA5 91710","370300","null","6434","null",
"8600000US91711","ZCTA5 91711","579800","null","14586","null",
"8600000US91722","ZCTA5 91722","367700","null","6172","null",
"8600000US91723","ZCTA5 91723","406500","null","17614","null",
"8600000US91724","ZCTA5 91724","453600","null","11205","null",
"8600000US91730","ZCTA5 91730","326200","null","7707","null",
"8600000US91731","ZCTA5 91731","383800","null","14986","null",
"8600000US91732","ZCTA5 91732","374400","null","8664","null",
"8600000US91733","ZCTA5 91733","363600","null","7684","null",
"8600000US91737","ZCTA5 91737","522100","null","22518","null",
"8600000US91739","ZCTA5 91739","500100","null","23355","null",
"8600000US91740","ZCTA5 91740","413700","null","11936","null",
"8600000US91741","ZCTA5 91741","594700","null","14976","null",
"8600000US91744","ZCTA5 91744","338600","null","5158","null",
"8600000US91745","ZCTA5 91745","517900","null","11688","null",
"8600000US91746","ZCTA5 91746","350300","null","7392","null",
"8600000US91748","ZCTA5 91748","530200","null","16622","null",
"8600000US91750","ZCTA5 91750","507000","null","18215","null",
"8600000US91752","ZCTA5 91752","359000","null","14036","null",
"8600000US91754","ZCTA5 91754","539600","null","16914","null",
"8600000US91755","ZCTA5 91755","523700","null","19578","null",
"8600000US91759","ZCTA5 91759","376700","null","107568","null",
"8600000US91761","ZCTA5 91761","310400","null","8401","null",
"8600000US91762","ZCTA5 91762","292700","null","9755","null",
"8600000US91763","ZCTA5 91763","281500","null","8302","null",
"8600000US91764","ZCTA5 91764","274900","null","8672","null",
"8600000US91765","ZCTA5 91765","596700","null","11239","null",
"8600000US91766","ZCTA5 91766","314600","null","11031","null",
"8600000US91767","ZCTA5 91767","314000","null","8084","null",
"8600000US91768","ZCTA5 91768","287600","null","10778","null",
"8600000US91770","ZCTA5 91770","447900","null","11124","null",
"8600000US91773","ZCTA5 91773","481100","null","17014","null",
"8600000US91775","ZCTA5 91775","683600","null","16149","null",
"8600000US91776","ZCTA5 91776","548900","null","18836","null",
"8600000US91780","ZCTA5 91780","627200","null","9342","null",
"8600000US91784","ZCTA5 91784","550000","null","15256","null",
"8600000US91786","ZCTA5 91786","368300","null","9559","null",
"8600000US91789","ZCTA5 91789","654700","null","8786","null",
