"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"8600000US95065","ZCTA5 95065","659500","18075","null","null",
"8600000US95066","ZCTA5 95066","629700","25027","null","null",
"8600000US95070","ZCTA5 95070","1,000,000+","***","***","1,000,000+",
"8600000US95073","ZCTA5 95073","594000","37492","null","null",
"8600000US95075","ZCTA5 95075","317900","79127","null","null",
"8600000US95076","ZCTA5 95076","366100","9111","null","null",
"8600000US95110","ZCTA5 95110","386200","19357","null","null",
"8600000US95111","ZCTA5 95111","334300","10060","null","null",
"8600000US95112","ZCTA5 95112","421000","22443","null","null",
"8600000US95113","ZCTA5 95113","630700","190041","null","null",
"8600000US95116","ZCTA5 95116","320900","9868","null","null",
"8600000US95117","ZCTA5 95117","623800","21035","null","null",
"8600000US95118","ZCTA5 95118","603400","8620","null","null",
"8600000US95119","ZCTA5 95119","490500","19298","null","null",
"8600000US95120","ZCTA5 95120","922600","10416","null","null",
"8600000US95121","ZCTA5 95121","443600","10761","null","null",
"8600000US95122","ZCTA5 95122","330000","11090","null","null",
"8600000US95123","ZCTA5 95123","502200","12050","null","null",
"8600000US95124","ZCTA5 95124","670000","9989","null","null",
"8600000US95125","ZCTA5 95125","728400","14594","null","null",
"8600000US95126","ZCTA5 95126","577900","20569","null","null",
"8600000US95127","ZCTA5 95127","419600","12093","null","null",
"8600000US95128","ZCTA5 95128","572200","17406","null","null",
"8600000US95129","ZCTA5 95129","862100","13508","null","null",
"8600000US95130","ZCTA5 95130","675500","16330","null","null",
"8600000US95131","ZCTA5 95131","518200","20709","null","null",
"8600000US95132","ZCTA5 95132","568000","10371","null","null",
"8600000US95133","ZCTA5 95133","447700","18919","null","null",
"8600000US95134","ZCTA5 95134","169500","104620","null","null",
"8600000US95135","ZCTA5 95135","758300","24188","null","null",
"8600000US95136","ZCTA5 95136","512200","15348","null","null",
"8600000US95138","ZCTA5 95138","714400","34933","null","null",
"8600000US95139","ZCTA5 95139","517200","31979","null","null",
"8600000US95140","ZCTA5 95140","1,000,000+","***","***","1,000,000+",
"8600000US95148","ZCTA5 95148","582900","10042","null","null",
"8600000US95202","ZCTA5 95202","155600","73001","null","null",
"8600000US95203","ZCTA5 95203","155200","7457","null","null",
"8600000US95204","ZCTA5 95204","140400","6909","null","null",
"8600000US95205","ZCTA5 95205","105000","6738","null","null",
"8600000US95206","ZCTA5 95206","131700","4921","null","null",
"8600000US95207","ZCTA5 95207","162000","5534","null","null",
"8600000US95209","ZCTA5 95209","193400","5688","null","null",
"8600000US95210","ZCTA5 95210","121600","4171","null","null",
"8600000US95211","ZCTA5 95211","-","**","**","-",
"8600000US95212","ZCTA5 95212","226100","10769","null","null",
"8600000US95215","ZCTA5 95215","147300","12796","null","null",
"8600000US95219","ZCTA5 95219","274700","9324","null","null",
"8600000US95220","ZCTA5 95220","379600","54496","null","null",
"8600000US95222","ZCTA5 95222","274000","28033","null","null",
"8600000US95223","ZCTA5 95223","341400","30756","null","null",
"8600000US95224","ZCTA5 95224","404200","227599","null","null",
"8600000US95225","ZCTA5 95225","304900","154432","null","null",
"8600000US95226","ZCTA5 95226","-","**","**","-",
"8600000US95227","ZCTA5 95227","703100","363572","null","null",
"8600000US95228","ZCTA5 95228","243600","37972","null","null",
"8600000US95230","ZCTA5 95230","298400","129520","null","null",
"8600000US95231","ZCTA5 95231","122400","46080","null","null",
"8600000US95232","ZCTA5 95232","218800","76980","null","null",
"8600000US95233","ZCTA5 95233","258700","248925","null","null",
"8600000US95234","ZCTA5 95234","-","**","**","-",
"8600000US95236","ZCTA5 95236","376700","50120","null","null",
"8600000US95237","ZCTA5 95237","212500","84842","null","null",
"8600000US95240","ZCTA5 95240","204500","10257","null","null",
"8600000US95242","ZCTA5 95242","273800","9677","null","null",
"8600000US95245","ZCTA5 95245","232300","33684","null","null",
"8600000US95246","ZCTA5 95246","212200","58915","null","null",
"8600000US95247","ZCTA5 95247","292700","33431","null","null",
"8600000US95248","ZCTA5 95248","485700","240940","null","null",
"8600000US95249","ZCTA5 95249","211800","74018","null","null",
"8600000US95250","ZCTA5 95250","-","**","**","-",
"8600000US95251","ZCTA5 95251","149100","239422","null","null",
"8600000US95252","ZCTA5 95252","241900","18037","null","null",
"8600000US95254","ZCTA5 95254","257700","51919","null","null",
"8600000US95255","ZCTA5 95255","195600","28260","null","null",
"8600000US95257","ZCTA5 95257","166700","122125","null","null",
"8600000US95258","ZCTA5 95258","265400","50207","null","null",
"8600000US95301","ZCTA5 95301","155500","8890","null","null",
"8600000US95303","ZCTA5 95303","269400","33840","null","null",
"8600000US95304","ZCTA5 95304","381000","26611","null","null",
"8600000US95305","ZCTA5 95305","-","**","**","-",
"8600000US95306","ZCTA5 95306","272000","100099","null","null",
"8600000US95307","ZCTA5 95307","158500","4962","null","null",
"8600000US95310","ZCTA5 95310","213700","55809","null","null",
"8600000US95311","ZCTA5 95311","204000","76685","null","null",
"8600000US95312","ZCTA5 95312","137500","100921","null","null",
"8600000US95313","ZCTA5 95313","341800","116060","null","null",
"8600000US95314","ZCTA5 95314","-","**","**","-",
"8600000US95315","ZCTA5 95315","135600","11290","null","null",
"8600000US95316","ZCTA5 95316","246500","38717","null","null",
"8600000US95317","ZCTA5 95317","260700","69214","null","null",
"8600000US95318","ZCTA5 95318","376100","31924","null","null",
"8600000US95319","ZCTA5 95319","99400","44469","null","null",
"8600000US95320","ZCTA5 95320","235800","15871","null","null",
"8600000US95321","ZCTA5 95321","258600","23093","null","null",
"8600000US95322","ZCTA5 95322","110500","9743","null","null",
"8600000US95323","ZCTA5 95323","314000","94962","null","null",
"8600000US95324","ZCTA5 95324","201500","26937","null","null",
"8600000US95325","ZCTA5 95325","-","**","**","-",
"8600000US95326","ZCTA5 95326","208700","16359","null","null",
"8600000US95327","ZCTA5 95327","194900","46960","null","null",
"8600000US95328","ZCTA5 95328","127000","26321","null","null",
"8600000US95329","ZCTA5 95329","210700","19553","null","null",
"8600000US95330","ZCTA5 95330","191700","9389","null","null",
"8600000US95333","ZCTA5 95333","159000","54405","null","null",
"8600000US95334","ZCTA5 95334","171200","12403","null","null",
"8600000US95335","ZCTA5 95335","346200","56873","null","null",
"8600000US95336","ZCTA5 95336","193500","8795","null","null",
"8600000US95337","ZCTA5 95337","247900","11152","null","null",
"8600000US95338","ZCTA5 95338","238100","14443","null","null",
"8600000US95340","ZCTA5 95340","165800","8085","null","null",
"8600000US95341","ZCTA5 95341","101400","7842","null","null",
"8600000US95345","ZCTA5 95345","163700","46030","null","null",
"8600000US95346","ZCTA5 95346","339100","37139","null","null",
"8600000US95348","ZCTA5 95348","150700","13445","null","null",
"8600000US95350","ZCTA5 95350","149500","5552","null","null",
"8600000US95351","ZCTA5 95351","104900","9528","null","null",
"8600000US95354","ZCTA5 95354","127400","9516","null","null",
"8600000US95355","ZCTA5 95355","195400","9495","null","null",
"8600000US95356","ZCTA5 95356","220900","13203","null","null",
"8600000US95357","ZCTA5 95357","213800","12992","null","null",
"8600000US95358","ZCTA5 95358","149600","8735","null","null",
"8600000US95360","ZCTA5 95360","132400","15069","null","null",
"8600000US95361","ZCTA5 95361","264500","12547","null","null",
"8600000US95363","ZCTA5 95363","166600","7561","null","null",
"8600000US95364","ZCTA5 95364","-","**","**","-",
"8600000US95365","ZCTA5 95365","90800","35786","null","null",
"8600000US95366","ZCTA5 95366","304100","15613","null","null",
"8600000US95367","ZCTA5 95367","174100","6931","null","null",
"8600000US95368","ZCTA5 95368","177800","10448","null","null",
"8600000US95369","ZCTA5 95369","274000","50159","null","null",
"8600000US95370","ZCTA5 95370","275400","13198","null","null",
"8600000US95372","ZCTA5 95372","246600","45199","null","null",
"8600000US95374","ZCTA5 95374","291900","83330","null","null",
"8600000US95375","ZCTA5 95375","-","**","**","-",
"8600000US95376","ZCTA5 95376","225400","6088","null","null",
"8600000US95377","ZCTA5 95377","287700","8075","null","null",
"8600000US95379","ZCTA5 95379","244400","120636","null","null",
"8600000US95380","ZCTA5 95380","159300","8039","null","null",
"8600000US95382","ZCTA5 95382","229300","8249","null","null",
"8600000US95383","ZCTA5 95383","316100","28424","null","null",
"8600000US95385","ZCTA5 95385","118200","153267","null","null",
"8600000US95386","ZCTA5 95386","145900","13377","null","null",
"8600000US95387","ZCTA5 95387","273300","192778","null","null",
"8600000US95388","ZCTA5 95388","124000","19963","null","null",
"8600000US95389","ZCTA5 95389","226700","62845","null","null",
"8600000US95391","ZCTA5 95391","349500","19760","null","null",
"8600000US95401","ZCTA5 95401","321700","11187","null","null",
"8600000US95403","ZCTA5 95403","346800","8466","null","null",
"8600000US95404","ZCTA5 95404","473700","17021","null","null",
"8600000US95405","ZCTA5 95405","411700","17173","null","null",
"8600000US95407","ZCTA5 95407","273600","12709","null","null",
"8600000US95409","ZCTA5 95409","430500","14086","null","null",
"8600000US95410","ZCTA5 95410","400000","122135","null","null",
"8600000US95412","ZCTA5 95412","421400","219376","null","null",
"8600000US95415","ZCTA5 95415","383800","141027","null","null",
"8600000US95417","ZCTA5 95417","272000","62273","null","null",
"8600000US95420","ZCTA5 95420","480000","1266619","null","null",
"8600000US95421","ZCTA5 95421","426500","40956","null","null",
"8600000US95422","ZCTA5 95422","97500","10351","null","null",
"8600000US95423","ZCTA5 95423","168600","27252","null","null",
"8600000US95425","ZCTA5 95425","352800","18672","null","null",
"8600000US95426","ZCTA5 95426","189700","38969","null","null",
"8600000US95427","ZCTA5 95427","472500","501842","null","null",
"8600000US95428","ZCTA5 95428","223200","66092","null","null",
"8600000US95429","ZCTA5 95429","413600","313706","null","null",
"8600000US95430","ZCTA5 95430","-","**","**","-",
"8600000US95431","ZCTA5 95431","-","**","**","-",
"8600000US95432","ZCTA5 95432","600700","331107","null","null",
"8600000US95435","ZCTA5 95435","-","**","**","-",
"8600000US95436","ZCTA5 95436","389000","35990","null","null",
"8600000US95437","ZCTA5 95437","333800","18978","null","null",
"8600000US95439","ZCTA5 95439","493800","291790","null","null",
"8600000US95441","ZCTA5 95441","613900","111554","null","null",
"8600000US95442","ZCTA5 95442","621100","72845","null","null",
"8600000US95443","ZCTA5 95443","-","**","**","-",
"8600000US95444","ZCTA5 95444","394600","83706","null","null",
"8600000US95445","ZCTA5 95445","383600","100105","null","null",
"8600000US95446","ZCTA5 95446","364300","19837","null","null",
"8600000US95448","ZCTA5 95448","580700","50290","null","null",
"8600000US95449","ZCTA5 95449","435000","74043","null","null",
"8600000US95450","ZCTA5 95450","506600","164117","null","null",
"8600000US95451","ZCTA5 95451","230300","27432","null","null",
"8600000US95452","ZCTA5 95452","592900","211386","null","null",
"8600000US95453","ZCTA5 95453","212600","23953","null","null",
"8600000US95454","ZCTA5 95454","328200","62144","null","null",
"8600000US95456","ZCTA5 95456","411200","51099","null","null",
"8600000US95457","ZCTA5 95457","211800","58491","null","null",
"8600000US95458","ZCTA5 95458","119100","41354","null","null",
"8600000US95459","ZCTA5 95459","366100","62584","null","null",
"8600000US95460","ZCTA5 95460","599700","77324","null","null",
"8600000US95461","ZCTA5 95461","287200","38615","null","null",
