ID,Year,Zipcode,Longitude,Latitude,Income,Age,Population,Num Rooms,House Value
132,2011,90621,-117.99,33.87,54607.0,31.2,36338,4.5,455700.0
133,2011,90623,-118.04,33.85,84218.0,40.8,15402,6.3,592100.0
134,2011,90630,-118.03,33.81,83360.0,39.9,47881,5.8,556200.0
135,2011,90631,-117.95,33.94,66985.0,34.1,67707,5.0,471700.0
136,2011,90638,-118.0,33.9,81692.0,36.8,48922,5.7,466500.0
137,2011,90640,-118.11,34.02,52206.0,33.9,62782,4.6,437300.0
138,2011,90650,-118.07,33.9,60090.0,33.5,105348,5.0,359900.0
139,2011,90660,-118.08,33.98,55676.0,34.4,62994,5.1,375500.0
140,2011,90670,-118.06,33.92,53694.0,35.4,15321,5.0,396600.0
141,2011,90680,-117.99,33.8,53774.0,33.0,30526,4.4,335400.0
142,2011,90701,-118.08,33.86,58534.0,37.0,16573,5.1,453200.0
143,2011,90703,-118.05,33.86,87522.0,43.3,49537,6.2,619000.0
144,2011,90704,-118.45,33.38,49142.0,36.7,4060,4.0,819500.0
145,2011,90706,-118.13,33.88,50244.0,31.9,76243,4.5,386200.0
146,2011,90710,-118.3,33.8,56565.0,36.5,27672,4.7,439300.0
147,2011,90712,-118.15,33.85,82337.0,36.8,31786,5.6,467900.0
148,2011,90713,-118.11,33.85,85131.0,38.8,27344,5.9,470200.0
149,2011,90715,-118.07,33.84,68120.0,32.4,20662,5.1,407400.0
150,2011,90716,-118.07,33.83,42770.0,28.8,14265,4.4,301800.0
151,2011,90717,-118.31,33.79,59856.0,38.2,21353,4.5,492400.0
152,2011,90720,-118.06,33.79,90000.0,42.7,21360,6.1,773300.0
153,2011,90723,-118.16,33.89,42831.0,28.6,54196,4.3,301600.0
154,2011,90731,-118.29,33.73,49226.0,34.5,60467,4.3,491700.0
155,2011,90732,-118.31,33.73,91979.0,44.5,20300,5.3,520300.0
156,2011,90740,-118.07,33.75,50648.0,58.1,23875,4.2,299900.0
157,2011,90742,-118.08,33.72,69617.0,48.0,1063,4.1,1000000.0
158,2011,90743,-118.09,33.73,100357.0,59.4,277,6.1,1000000.0
159,2011,90744,-118.26,33.77,40792.0,27.7,56811,4.4,354000.0
160,2011,90745,-118.26,33.82,69330.0,35.7,57668,5.3,372400.0
161,2011,90746,-118.25,33.86,76692.0,39.0,26021,6.2,414100.0
162,2011,90747,-118.25,33.86,67521.99233323270,40.40193697600450,0,5.163962967276100,458794.97705720400
163,2011,90755,-118.16,33.8,70236.0,37.2,10893,4.5,421900.0
164,2011,90802,-118.2,33.75,45094.0,35.0,38669,3.3,329400.0
165,2011,90803,-118.13,33.75,70007.0,41.1,30670,4.4,737300.0
166,2011,90804,-118.14,33.78,43489.0,29.4,40817,3.8,412700.0
167,2011,90805,-118.18,33.86,44244.0,28.8,92627,4.4,330300.0
168,2011,90806,-118.18,33.81,41932.0,29.3,42486,4.3,423800.0
169,2011,90807,-118.18,33.83,68254.0,39.6,31912,5.0,531500.0
170,2011,90808,-118.11,33.82,93787.0,40.0,39848,5.9,560800.0
171,2011,90810,-118.22,33.81,51123.0,30.6,37208,4.8,354400.0
172,2011,90813,-118.18,33.78,30622.0,26.5,57602,3.7,338300.0
173,2011,90814,-118.14,33.77,54606.0,37.9,18260,4.1,648500.0
174,2011,90815,-118.12,33.79,88024.0,36.3,41278,5.5,574000.0
175,2011,90822,-118.12,33.78,67521.99233323270,52.5,47,5.163962967276100,458794.97705720400
176,2011,90831,-118.2,33.77,67521.99233323270,40.40193697600450,0,5.163962967276100,458794.97705720400
177,2011,91001,-118.13,34.2,86357.0,40.3,38113,6.0,609400.0
178,2011,91006,-118.02,34.13,81660.0,41.1,32233,5.9,701500.0
179,2011,91007,-118.05,34.12,70455.0,42.1,33241,5.2,754700.0
180,2011,91008,-117.97,34.15,103490.0,49.6,1271,7.1,1000000.0
181,2011,91010,-117.94,34.13,62563.0,39.5,24917,5.0,395300.0
182,2011,91011,-118.21,34.22,147481.0,45.3,20308,6.9,1000000.0
183,2011,91016,-117.99,34.15,67787.0,37.0,41385,4.8,525400.0
184,2011,91020,-118.23,34.21,68898.0,39.0,8682,4.4,553700.0
185,2011,91024,-118.05,34.17,84487.0,48.2,10881,5.5,770500.0
186,2011,91030,-118.15,34.11,84914.0,38.0,25465,4.8,834400.0
187,2011,91040,-118.32,34.26,73260.0,40.6,20232,5.3,467600.0
188,2011,91042,-118.25,34.29,57922.0,39.2,27593,4.7,446200.0
189,2011,91046,-118.24,34.21,22656.0,76.9,123,2.3,458794.97705720400
190,2011,91101,-118.14,34.15,55305.0,33.2,21121,3.3,453200.0
191,2011,91103,-118.17,34.17,58287.0,38.2,27330,4.8,600200.0
192,2011,91104,-118.12,34.16,65458.0,37.8,37335,5.0,630400.0
193,2011,91105,-118.16,34.14,116687.0,49.2,10548,5.5,883500.0
194,2011,91106,-118.13,34.14,65424.0,34.6,25096,4.2,610500.0
195,2011,91107,-118.08,34.16,81294.0,40.7,31329,5.2,655700.0
196,2011,91108,-118.11,34.12,157535.0,46.2,13281,7.3,1000000.0
197,2011,91201,-118.29,34.17,47850.0,40.5,23419,4.1,640300.0
198,2011,91202,-118.26,34.16,69265.0,42.5,22414,4.4,633500.0
199,2011,91203,-118.26,34.15,40853.0,38.5,13016,3.6,393400.0
200,2011,91204,-118.26,34.13,40050.0,38.1,15830,3.5,427500.0
201,2011,91205,-118.24,34.13,36741.0,39.6,38321,3.5,486600.0
202,2011,91206,-118.2,34.16,55364.0,43.9,32674,4.2,634700.0
203,2011,91207,-118.25,34.18,87634.0,42.8,10566,5.3,858900.0
204,2011,91208,-118.24,34.19,89663.0,42.2,15672,5.6,733200.0
205,2011,91210,-118.26,34.14,76250.0,29.8,194,3.2,458794.97705720400
206,2011,91214,-118.24,34.23,87249.0,41.5,31642,5.4,630600.0
207,2011,91301,-118.76,34.12,108357.0,43.5,25343,6.7,723700.0
208,2011,91302,-118.67,34.11,126958.0,42.6,25802,7.1,1000000.0
209,2011,91303,-118.6,34.19,46599.0,30.9,26308,3.8,359000.0
210,2011,91304,-118.59,34.22,58423.0,36.1,52249,5.0,505100.0
211,2011,91306,-118.57,34.2,60506.0,34.1,47235,5.2,391400.0
212,2011,91307,-118.69,34.2,90785.0,44.0,24506,6.6,567800.0
213,2011,91311,-118.61,34.28,78646.0,42.2,37504,5.8,507600.0
214,2011,91316,-118.52,34.15,59522.0,39.0,26586,4.6,550600.0
215,2011,91320,-118.95,34.17,104644.0,38.6,45205,6.5,631200.0
216,2011,91321,-118.47,34.36,58130.0,33.7,34948,4.7,381100.0
217,2011,91324,-118.55,34.24,63369.0,34.7,26853,5.3,520700.0
218,2011,91325,-118.51,34.23,60033.0,35.3,32497,4.8,543000.0
219,2011,91326,-118.55,34.28,102602.0,42.7,34468,6.6,655300.0
220,2011,91330,-118.53,34.25,67521.99233323270,19.7,794,5.163962967276100,458794.97705720400
221,2011,91331,-118.41,34.25,49842.0,29.6,97523,5.3,333500.0
222,2011,91335,-118.54,34.2,53842.0,33.9,75267,4.8,380100.0
223,2011,91340,-118.44,34.28,51428.0,28.4,34516,5.1,333300.0
224,2011,91342,-118.38,34.32,61648.0,32.6,87707,5.7,363200.0
225,2011,91343,-118.47,34.23,53417.0,32.2,59886,5.0,433600.0
